t=2026-07-31T09:49:03+0600 lvl=info msg="no configuration paths supplied"
t=2026-07-31T09:49:03+0600 lvl=info msg="using configuration at default config path" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-31T09:49:03+0600 lvl=info msg="open config file" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=d025413db1a6 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=0cf46022456f l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=31324dd3b828 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=99d2f427e77e l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=f3528459376b l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=db8639e4031f l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=fa433117ebee l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=36bcefcb7858 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=aa1f1b2cba08 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=85663ead0168 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=9376f090c6b5 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:40+0600 lvl=info msg="join connections" obj=join id=bc66c87288b4 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:41+0600 lvl=info msg="join connections" obj=join id=c448e256d250 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:42+0600 lvl=info msg="join connections" obj=join id=ee02fb5206e8 l=127.0.0.1:3000 r=103.130.11.44:61180
t=2026-07-31T09:51:06+0600 lvl=info msg="join connections" obj=join id=0f189febc453 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:18+0600 lvl=info msg="join connections" obj=join id=16d2e3330539 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:18+0600 lvl=info msg="join connections" obj=join id=fc22aa9f93be l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:18+0600 lvl=info msg="join connections" obj=join id=4d3a5bd8301c l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:18+0600 lvl=info msg="join connections" obj=join id=f251617e91d0 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:18+0600 lvl=info msg="join connections" obj=join id=c91cfe4055c2 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:19+0600 lvl=info msg="join connections" obj=join id=85d95706c740 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:19+0600 lvl=info msg="join connections" obj=join id=3ae53a754a17 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:19+0600 lvl=info msg="join connections" obj=join id=b183e55f61f4 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:21+0600 lvl=info msg="join connections" obj=join id=eb4c0b7e5a30 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:21+0600 lvl=info msg="join connections" obj=join id=677e720437e8 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:21+0600 lvl=info msg="join connections" obj=join id=41c5b3fda9e0 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:21+0600 lvl=info msg="join connections" obj=join id=6164282ba9cb l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:21+0600 lvl=info msg="join connections" obj=join id=e05abf30161f l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:21+0600 lvl=info msg="join connections" obj=join id=e437d1c38510 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:22+0600 lvl=info msg="join connections" obj=join id=b3dafefc85bb l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:22+0600 lvl=info msg="join connections" obj=join id=7496053422d6 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:22+0600 lvl=info msg="join connections" obj=join id=e4d8c9bace45 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:22+0600 lvl=info msg="join connections" obj=join id=8f089932c599 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:22+0600 lvl=info msg="join connections" obj=join id=2c77292333e2 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:22+0600 lvl=info msg="join connections" obj=join id=d96180482df4 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:22+0600 lvl=info msg="join connections" obj=join id=4988165b1d98 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:49+0600 lvl=info msg="join connections" obj=join id=5c3969d08c53 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:55+0600 lvl=info msg="join connections" obj=join id=ea100275087d l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:55+0600 lvl=info msg="join connections" obj=join id=641e285eea92 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:55+0600 lvl=info msg="join connections" obj=join id=dddb249c0d60 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:55+0600 lvl=info msg="join connections" obj=join id=519231c75261 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:55+0600 lvl=info msg="join connections" obj=join id=a8cdcd3ee624 l=127.0.0.1:3000 r=103.130.11.44:61178
